1242,42640
179,57339144
86,25222038
55,208908
1001,448013
171,11713159
228,5330286
272,11676786
207,25257557
224,46943432
219,24756910
29,4261
156,25126798
1066,46883536
1022,6852167
1059,46883536
1032,462382
1377,24180719
281,521106
293,24776445
205,5311497
1072,9884685
1021,6445562
178,56965967
60,176167
279,46930998
203,51371303
63,704473
62,2375
1091,5328940
184,560326
222,6253
1037,65110
274,49836027
186,176158
150,10184653
1502,5717801
1378,2733526
104,11640390
1019,5494449
197,6918848
276,6918454
1170,44137675
1067,9549184
54,8249
53,2375
154,9956119
1241,24894414
1015,25195352
64,24951314
152,54676905
255,2314623
273,11844351
300,16720766
249,16095342
1114,25102847
1005,76044
37,10184653
1006,46224516
165,25022668
1373,9956222
200,11617559
1057,11455910
1248,10390396
51,9938202
1007,3062316
1042,6505803
133,10074640
1069,156422
1031,66577006
172,42642645
88,53394750
229,5384616
201,5327091
1,46844147
134,126941
173,36462
263,644241
166,11316960
306,300471
308,5329102
52,10451420
226,6445533
202,11754511
127,44819241
1192,444795
91,11178236
230,10384072
177,11373846
326,11625818
193,9874913
1023,11626927
87,44143370
1010,10196499
135,10459196
159,9914412
275,5746
1230,7251185
176,54685215
238,5208
34,53302361
208,446378
1043,24785538
157,17755052
163,159324
1218,24826799
83,36314
287,78243717
290,4993
291,85668777
345,3005532
1030,10109823
192,56962337
119,216326
1020,23725625
1024,11707110
277,5291
185,46907787
194,9826528
9,44551660
1053,10172943
294,11609586
292,44224160
1008,6918289
136,1401
1029,17755052
260,44137675
269,4263900
147,176870
1038,3463933
295,11338033
35,10127622
1011,9903786
1013,10200390
1047,5460769
299,44450571
298,16747388
167,82146
182,10390396
1017,16722836
1495,60750
283,16095342
175,46191454
1060,25124816
1049,16663089
1129,447912
158,9813758
1219,6450816
1530,44632017
6,9858940
301,6710780
302,9826308
303,24978538
1036,24772860
1371,216239
11,148124
1054,23725625
89,9868037
199,3218
282,10302451
1529,6450551
196,25262965
1058,31703
1527,44462760
1243,3796
155,16038120
71,5280757
151,104842
254,49806720
1052,24889392
3,6914657
1014,10196499
1526,10127622
1175,11327430
206,644215
41,10113978
1025,9810884
1194,3385
304,71271629
1061,5459322
1264,9910224
1039,11404337
1494,11282283
328,10341154
258,9907093
111,16725726
38,9931953
110,11485656
341,5113032
1062,44182295
1498,6918638
268,5311510
1133,11364421
170,84691
30,10027278
5,6753378
333,9952773
221,24825971
94,5289247
305,44182295
1149,11634725
1259,126565
1199,11977753
1026,16760646
1375,49821040
1016,637858
180,11493598
204,11152667
312,46931012
32,11647372
1372,24180719
1009,10461815
265,9911830
245,11433190
1236,46843772
1262,11960529
271,387447
262,20635522
1028,46907787
1018,5394
1004,10096043
140,160355
1033,9863776
1012,9967941
56,11624601
288,9956119
59,5278396
1046,11667893
1268,123631
106,46885626
1164,46224516
309,53340664
1239,5311
310,2726824
45,11626560
1050,10077147
223,9943465
266,25167777
